Restaurant Name,City,Address,Locality,Locality Verbose,Cuisines,Average Cost for two,Price range,Aggregate rating,Rating text,cost type
Kabir Restaurant,Ahmedabad,"JB Tower, Opposite Doordarshan Kendra, Drive In Road, Gurukul, Ahmedabad",Gurukul,"Gurukul, Ahmedabad","North Indian, Chinese, Continental, Desserts, Fast Food, Sandwich",600,2,3.8,Good,average
Puffizza,Ahmedabad,"103, Kairos, Opposite Mahatma Gandhi Labour Institute, Drive In Road, Gurukul, Ahmedabad",Gurukul,"Gurukul, Ahmedabad","Italian, Fast Food",700,2,4.3,Very Good,expensive
Cafe Alfresco,Ahmedabad,"101, Dynamic House, Vijay Cross Road, Above HDFC Bank, Opposite Child Care Hospital, Navrangpura, Ahmedabad",Navrangpura,"Navrangpura, Ahmedabad","Cafe, Beverages, Desserts, Pizza",700,2,4,Very Good,expensive
The Cafe Baraco,Ahmedabad,"34, Shribhuvan Complex, Near Memnagar Fire Station, Navrangpura, Ahmedabad",Navrangpura,"Navrangpura, Ahmedabad","Cafe, Italian",600,2,4.4,Very Good,average
Nini's Kitchen,Ahmedabad,"12, First Floor, Camps Corner 2, Opposite Prahlad Nagar Garden, Prahlad Nagar, Ahmedabad",Prahlad Nagar,"Prahlad Nagar, Ahmedabad","North Indian, Continental, Beverages, Italian, Burger, Healthy Food, Mediterranean",950,3,4.5,Excellent,expensive
Yanki Sizzlers,Ahmedabad,"4, Ground Floor, Binori Ambit, Next to Renault Showroom, Thaltej Circle, Thaltej, Ahmedabad",Thaltej,"Thaltej, Ahmedabad","Continental, Italian, Chinese",1200,3,4.1,Very Good,expensive
The Garden Cafe - The Fern,Ahmedabad,"The Fern, Near Sola Overbridge, S G Highway, Sola, Ahmedabad","The Fern, Sola","The Fern, Sola, Ahmedabad","North Indian, Italian, Asian, South Indian",1200,3,4.1,Very Good,expensive
Mazzo,Ahmedabad,"27, Sunshine Villa, Sunrise Park Society, Vastrapur, Ahmedabad",Vastrapur,"Vastrapur, Ahmedabad","Cafe, American, Continental, Armenian, Fast Food",550,2,3.9,Good,average
Turquoise Villa,Ahmedabad,"Ground Floor, Shanay - 1, Near AMA, IIM Road, Vastrapur, Ahmedabad",Vastrapur,"Vastrapur, Ahmedabad",Continental,1200,3,4,Very Good,expensive
Aryan Family's Delight,Allahabad,"Ground Floor, Vinayak City Centre, Sardar Patel Marg, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad","North Indian, South Indian, Fast Food",500,3,3.4,Average,average
Bean Here,Allahabad,"Vinayak Pushp, 77 Elgin Road, Near Florista, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad","Cafe, Fast Food",350,2,3.3,Average,average
Bikanerwala,Allahabad,"2A, JMD Bhawan, Strachey Road, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad","North Indian, Street Food, Fast Food",500,3,3.2,Average,average
Dewsis,Allahabad,"2, MG Marg, Opposite Hanuman Mandir, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad","North Indian, Chinese",600,3,3.4,Average,average
Friends Forever,Allahabad,"13/13, Sardar Patel Marg, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad","North Indian, Chinese",600,3,3.4,Average,average
Hotel Ravisha Continental,Allahabad,"57 A, Purshottamdas Tandon Marg, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad","North Indian, South Indian, Chinese",600,3,3.4,Average,average
KFC,Allahabad,"P Square Mall, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad","American, Fast Food",500,3,3.4,Average,average
McDonald's,Allahabad,"Shop 4, 34-B, M G Marg, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad",Fast Food,400,2,3.3,Average,average
Pind Balluchi,Allahabad,"5-A, Sardar Patel Marg, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad","North Indian, Mughlai",800,3,3.2,Average,expensive
Pizza Hut,Allahabad,"31/31, Sardar Patel Marg, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad","Italian, Pizza",700,3,3.4,Average,expensive
Subway,Allahabad,"207/53, Mahatma Gandhi Marg, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad","Fast Food, American, Salad, Healthy Food",400,2,3.4,Average,average
Tandoor Restaurant,Allahabad,"17/33, Mahatama Gandhi Marg, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad","North Indian, Chinese",500,3,3.2,Average,average
The BrewMaster,Allahabad,"Near Vishal Megamart, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad","North Indian, Chinese, Italian",0,1,3.3,Average,cheap
The Tamarind Tree,Allahabad,"60 C, Thornhill Road, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad","South Indian, Chinese",500,3,3.4,Average,average
Cafe El Chico,Allahabad,"24, Mahatma Gandhi, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad","Continental, Italian",1000,4,3.6,Good,expensive
Eat On,Allahabad,"Palace Compound, Near Palace Cinema, MG Marg, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad",North Indian,200,1,3.7,Good,cheap
Hot Stuff,Allahabad,"21 C, Lal Bhadhur Shastri Marg, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad","North Indian, Fast Food",500,3,3.5,Good,average
Paradise,Allahabad,"19/35, MG Marg, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad","Desserts, Fast Food",500,3,3.6,Good,average
Sagar Ratna,Allahabad,"3/3, Near Balson Crossing, Hashimpur Road, Tagore Town, Allahabad",Tagore Town,"Tagore Town, Allahabad","South Indian, North Indian, Chinese, Continental",400,2,3.5,Good,average
Moti Mahal Delux,Allahabad,"Second Floor, Vinayak City Center Mall, SP Marg, Civil Lines, Allahabad","Vinayak City Centre Mall, Civil Lines","Vinayak City Centre Mall, Civil Lines, Allahabad","Mughlai, North Indian, Chinese",800,3,3.3,Average,expensive
Makhan Fish and Chicken Corner,Amritsar,"21-A, Near Madaan Hospital, Majitha Road, Basant Nagar, Amritsar",Basant Nagar,"Basant Nagar, Amritsar","North Indian, Chinese",700,2,3.4,Average,expensive
Charming Chicken,Amritsar,"Shop 3, Opposite Nari Nikaten, Majithia Road, Near Basant Nagar, Amritsar",Basant Nagar,"Basant Nagar, Amritsar",North Indian,300,1,3.9,Good,average
Ahuja Milk Bhandar,Amritsar,"Dhab Khatikan, Near Hindu College, Hathi Gate, Amritsar",Hathi Gate,"Hathi Gate, Amritsar",Beverages,100,1,4,Very Good,cheap
Crystal Restaurant,Amritsar,"Crystal Chowk, Queens Road, INA Colony, Amritsar",INA Colony,"INA Colony, Amritsar","North Indian, Mughlai",800,3,3.4,Average,expensive
Brijwasi Chat Bhandar,Amritsar,"Crystal Chowk, Cooper Road, Near INA Colony",INA Colony,"INA Colony, Amritsar",Street Food,150,1,3.6,Good,cheap
Bubby Fish & Chicken Corner,Amritsar,"Near Crystal Chowk, Cooper Road, INA Colony, Amritsar",INA Colony,"INA Colony, Amritsar",North Indian,300,1,3.5,Good,average
Bon Gateau,Amritsar,"SCF 27, C Block Market, Ranjit Avenue, Amritsar",Ranjit Avenue,"Ranjit Avenue, Amritsar","Cafe, Bakery, Fast Food",500,2,3.4,Average,average
The Yellow Chilli,Amritsar,"108, GRD Towers, District Shopping Center, Ranjit Avenue, Amritsar",Ranjit Avenue,"Ranjit Avenue, Amritsar","North Indian, Mughlai, Chinese",1200,3,3.4,Average,expensive
La Roma Pizzeria,Amritsar,"SCO 6, District Shopping Complex, Ranjit Avenue, Amritsar",Ranjit Avenue,"Ranjit Avenue, Amritsar","Fast Food, Italian",400,2,3.5,Good,average
Sakhis Watz Kukin,Amritsar,"M 47, Green Avenue, opp Main Park, Amritsar",Ranjit Avenue,"Ranjit Avenue, Amritsar","North Indian, Chinese",700,2,3.6,Good,expensive
The Kulcha Land,Amritsar,"Opposite M.K Hotel, District Shopping Centre, Ranjit Avenue, Amritsar",Ranjit Avenue,"Ranjit Avenue, Amritsar","North Indian, Street Food",200,1,3.9,Good,cheap
Shudh Restaurant,Amritsar,"Opposite Gurudwara Saragarhi, Near Dharm Singh Market Chowk, Fuwara, Town Hall, Amritsar",Town Hall,"Town Hall, Amritsar","North Indian, South Indian, Chinese, Fast Food",600,2,3.4,Average,average
Bade Bhai Ka Brothers' Dhaba,Amritsar,"Near Amritsar Municipal Corporation, Town Hall, Amritsar",Town Hall,"Town Hall, Amritsar","North Indian, Fast Food",500,2,3.7,Good,average
Bharawan Da Dhaba,Amritsar,"Near Amritsar Municipal Corporation, Town Hall, Amritsar",Town Hall,"Town Hall, Amritsar","North Indian, Fast Food",500,2,3.5,Good,average
Brothers Dhaba,Amritsar,"Golden Temple Out Road, Opposite Amritsar Municipal Corporation, Town Hall, Amritsar",Town Hall,"Town Hall, Amritsar",North Indian,500,2,3.8,Good,average
Brothers' Amritsari Dhaba,Amritsar,"Phawara Chowk, Town Hall, Amritsar",Town Hall,"Town Hall, Amritsar",North Indian,400,2,3.8,Good,average
Gurdas Ram Jalebi Wala,Amritsar,"Near Golden Temple, Town Hall, Amritsar",Town Hall,"Town Hall, Amritsar",Mithai,100,1,4.1,Very Good,cheap
Kesar Da Dhabha,Amritsar,"Near Telephone Exchange, Chowk Passian, Shastri Market, Near Town Hall, Amritsar",Town Hall,"Town Hall, Amritsar",North Indian,500,2,4.1,Very Good,average
Beera Chicken Corner,Amritsar,"Opposite Bandari Hospital, Sehaj Avenue, Majitha Road, Near White Avenue, Amritsar",White Avenue,"White Avenue, Amritsar",North Indian,500,2,3.8,Good,average
Surjit Food Plaza,Amritsar,"Shop 4, Nehru Shopping Complex, Lawrence Road, White Avenue, Amritsar",White Avenue,"White Avenue, Amritsar",North Indian,1000,3,3.5,Good,expensive
Kanha Sweets,Amritsar,"Shop 1, Opposite Bijli Pehalwan Mandir, Lawrence Road, White Avenue, Amritsar",White Avenue,"White Avenue, Amritsar",Fast Food,150,1,4.1,Very Good,cheap
Kream N Krunch,Aurangabad,"2, Near Akashwani Circle, Mahesh Nagar, Jalna Road, Akashwani, Aurangabad",Akashwani,"Akashwani, Aurangabad","North Indian, Chinese, Continental, Italian",800,3,3.6,Good,expensive
Balbeer's Kitchen & Bar,Aurangabad,"Shendra, Near Cambridge School, Jalna Road, Chicalthana, Aurangabad",Chicalthana,"Chicalthana, Aurangabad","Italian, Continental, Chinese, North Indian",850,3,3.3,Average,expensive
Angeethi Restaurant,Aurangabad,"Seven Hill Flyover, Jalna Road, Vidya Nagar, CIDCO, Aurangabad",CIDCO,"CIDCO, Aurangabad","North Indian, Chinese",600,2,3.3,Average,average
Domino's Pizza,Aurangabad,"8, Upper Ground Floor, City Pride Commercial Complex, Kali Bawdi, Jalna Road, CIDCO, Aurangabad",CIDCO,"CIDCO, Aurangabad",Pizza,700,2,3.1,Average,expensive
Hotel Laadli,Aurangabad,"Goodwill Complex, Opposite Cidco Busstand, N-2, CIDCO, Aurangabad",CIDCO,"CIDCO, Aurangabad","North Indian, South Indian",350,2,3.4,Average,average
Indiana Veg Restaurant,Aurangabad,"Plot 2, Near High Court, N-3, CIDCO, Aurangabad",CIDCO,"CIDCO, Aurangabad","South Indian, North Indian, Chinese, Fast Food",450,2,3.4,Average,average
Madhuban Restaurant - Welcome Hotel Rama International,Aurangabad,"Welcome Hotel Rama International, Opposite High Court, CIDCO, Aurangabad",CIDCO,"CIDCO, Aurangabad","North Indian, Chinese, Continental, Italian, Mexican",1800,4,3.4,Average,expensive
Mauj Restaurant,Aurangabad,"31, Kailash Arcade, Opposite Bank of Baroda, Connaught Place, CIDCO, Aurangabad",CIDCO,"CIDCO, Aurangabad","Italian, Fast Food, North Indian, Chinese",500,2,3.3,Average,average
Naivedya,Aurangabad,"Sakal Office, Jalna Road, CIDCO, Aurangabad",CIDCO,"CIDCO, Aurangabad",North Indian,500,2,3.4,Average,average
d' Curry House,Aurangabad,"Hotel Green Olive, Near Baba Petrol Pump, Nirala Bazar, Aurangabad","Hotel Green Olive, Nirala Bazar","Hotel Green Olive, Nirala Bazar, Aurangabad","Continental, Chinese, Biryani, North Indian",1000,3,3.6,Good,expensive
Mokoholic Juice Bar,Aurangabad,"Opposite Municipal Car Parking, Paithan Gate, Near Mondha, Aurangabad",Mondha,"Mondha, Aurangabad","Juices, Desserts",300,1,3.5,Good,average
Ashoka's Veg Restaurant,Aurangabad,"31, Opposite Kohinoor Plaza, Near M P Law College, Nirala Bazar, Aurangabad",Nirala Bazar,"Nirala Bazar, Aurangabad","South Indian, Chinese, North Indian",400,2,3.3,Average,average
Kareem's Fine Dining,Aurangabad,"A1-A3, Motiwala Complex, Below KFC Restaurant, Nirala Bazar, Aurangabad",Nirala Bazar,"Nirala Bazar, Aurangabad","Mughlai, Biryani",700,2,3.3,Average,expensive
That Baat,Aurangabad,"Near Vivekanand College, Samarth Nagar, Nirala Bazar Road, Aurangabad",Nirala Bazar,"Nirala Bazar, Aurangabad",Maharashtrian,450,2,3.4,Average,average
Bhoj Restaurant,Aurangabad,"First Floor, Bhau Pathak Smriti Kamgar Bhavan, CBS Road, Nirala Bazar, Aurangabad",Nirala Bazar,"Nirala Bazar, Aurangabad",North Indian,450,2,3.7,Good,average
Downside Up,Aurangabad,"6&7 B, Kuber Avenue, Rana Nagar, Near Nyay Nagar, Aurangabad",Nyay Nagar,"Nyay Nagar, Aurangabad","Cafe, Mughlai, North Indian",400,2,3.2,Average,average
Kareem's Kabab & Biryani,Aurangabad,"First Floor, Food Court, Prozone Mall, MIDC Industrial Area, Chicalthana, Aurangabad","Prozone Mall, Chicalthana","Prozone Mall, Chicalthana, Aurangabad",Mughlai,650,2,3.4,Average,average
Great Sagar Restaurant,Aurangabad,"Near Bhadkal Gate, VIP Road, Shahgunj, Aurangabad",Shahgunj,"Shahgunj, Aurangabad","North Indian, Mughlai",600,2,3.3,Average,average
Kailash Restaurant,Aurangabad,"Rachanakar colony, Railway Station Road, Usmanpura, Aurangabad",Usmanpura,"Usmanpura, Aurangabad","North Indian, Chinese, South Indian, Fast Food",450,2,3.3,Average,average
Yalla Yalla,Aurangabad,"Near Gopal Tea Corner, Usmanpura Circle, Usmanpura, Aurangabad",Usmanpura,"Usmanpura, Aurangabad","North Indian, Hyderabadi",500,2,3.3,Average,average
Sultans of Spice,Bangalore,"BluPetal Hotel, 60 Jyoti Nivas College Road, Koramangala 5th Block, Bangalore","BluPetal Hotel, Koramangala","BluPetal Hotel, Koramangala, Bangalore","North Indian, Mughlai",1300,3,4.1,Very Good,expensive
The Fatty Bao - Asian Gastro Bar,Bangalore,"610, 3rd Floor, 12th Main, Off 80 Feet Road, Indiranagar, Bangalore",Indiranagar,"Indiranagar, Bangalore",Asian,2400,4,4.7,Excellent,expensive
Toit,Bangalore,"298, Namma Metro Pillar 62, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,"Indiranagar, Bangalore","Italian, American, Pizza",2000,4,4.8,Excellent,expensive
Three Dots & A Dash,Bangalore,"840/1,100 Feet Road, Metro Pillar 56-57, Indiranagar, Bangalore",Indiranagar,"Indiranagar, Bangalore","European, Continental",1300,3,3.9,Good,expensive
Bombay Brasserie,Bangalore,"2989/B, 12th Main Road, HAL 2nd Stage, Indiranagar, Bangalore",Indiranagar,"Indiranagar, Bangalore",Modern Indian,1500,3,4.2,Very Good,expensive
Glen's Bakehouse,Bangalore,"297, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,"Indiranagar, Bangalore","Bakery, Desserts, Cafe",800,2,4,Very Good,expensive
Onesta,Bangalore,"501, Binnamangala Extension, 1st stage, C.M.H Road, Indiranagar, Bangalore",Indiranagar,"Indiranagar, Bangalore","Pizza, Cafe, Italian",600,2,4.3,Very Good,average
Onesta,Bangalore,"Site 15, 15th Cross, 100 Feet Road, 4th Phase, JP Nagar, Bangalore",JP Nagar,"JP Nagar, Bangalore","Pizza, Cafe, Italian",600,2,4.6,Excellent,average
ECHOES Koramangala,Bangalore,"44, 4th B Cross, Koramangala 5th Block, Bangalore",Koramangala 5th Block,"Koramangala 5th Block, Bangalore","Continental, American, Italian, North Indian, Chinese, Cafe",950,2,4.7,Excellent,expensive
Truffles,Bangalore,"28, 4th 'B' Cross, Koramangala 5th Block, Bangalore",Koramangala 5th Block,"Koramangala 5th Block, Bangalore","American, Burger, Cafe",800,2,4.7,Excellent,expensive
The Black Pearl,Bangalore,"105, 1st A Cross Road, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,"Koramangala 5th Block, Bangalore","North Indian, European, Mediterranean",1400,3,4.1,Very Good,expensive
Eat Street,Bangalore,"11, 80 Feet Road, Opposite Indian Oil Petrol Pump, Koramangala 6th Block, Bangalore",Koramangala 6th Block,"Koramangala 6th Block, Bangalore","North Indian, Chinese, Italian, Street Food, Desserts",400,1,4.3,Very Good,average
Koramangala Social,Bangalore,"118, Koramangala Industrial Area, Koramangala 7th Block, Bangalore",Koramangala 7th Block,"Koramangala 7th Block, Bangalore","Continental, American",1500,3,4.5,Excellent,expensive
AB's - Absolute Barbecues,Bangalore,"90/4, 3rd Floor, Outer Ring Road, Munnekollaly Village, Marathahalli, Bangalore",Marathahalli,"Marathahalli, Bangalore","European, Mediterranean, North Indian",1400,3,4.6,Excellent,expensive
Flechazo,Bangalore,"9/1, 1st Floor, Above Surya Nissan, VRR Orchid, Doddanakkundi, Marathahalli, Bangalore",Marathahalli,"Marathahalli, Bangalore","Asian, Mediterranean, North Indian",1200,3,4.4,Very Good,expensive
Onesta,Bangalore,"215, 216 & 220, Devasandra Village, Kasaba Hobli, New BEL Road, Bangalore",New BEL Road,"New BEL Road, Bangalore","Pizza, Cafe, Italian",600,2,4.6,Excellent,average
Communiti,Bangalore,"67 & 68, Brigade Solitaire, Opposite to Advaith Hyundai, Residency Road, Bangalore",Residency Road,"Residency Road, Bangalore",Continental,1200,3,4.2,Very Good,expensive
Big Brewsky,Bangalore,"Behind MK Retail, Before WIPRO Corporate Office, Sarjapur Road, Bangalore",Sarjapur Road,"Sarjapur Road, Bangalore","Finger Food, North Indian, Italian, Continental, Thai, South Indian",1800,3,4.5,Excellent,expensive
Hoot,Bangalore,"BBMP 2034/69, Block 2, Kaikondrahalli, Varthur Hobli, Sarjapur Road, Bangalore",Sarjapur Road,"Sarjapur Road, Bangalore","Continental, Italian, North Indian",1400,3,3.9,Good,expensive
Farzi Cafe,Bangalore,"202, Level 2, UB City, Vittal Mallya Road, Lavelle Road, Bangalore",UB City,"UB City, Bangalore",Modern Indian,1500,3,4.4,Very Good,expensive
Black N White Cafe,Bhopal,"G-1, Raksha Tower, Eden Garden, Arera Colony, Bhopal",Arera Colony,"Arera Colony, Bhopal","Cafe, Chinese, North Indian",200,1,3.3,Average,cheap
Maybe There,Bhopal,"4th floor,10th Cross Road Building, Above Vishal Fitness Centre, 10 Main Road, Arera Colony, Bhopal",Arera Colony,"Arera Colony, Bhopal",Cafe,600,2,3.4,Average,average
Sagar Gaire Fast Food,Bhopal,"10, Number Market, Arera Colony, Bhopal",Arera Colony,"Arera Colony, Bhopal",Fast Food,250,1,4.9,Excellent,cheap
The Kasbah,Bhopal,"110/7, Mandakini, Opposite Union Bank, Kolar Main Road, Arera Colony, Bhopal",Arera Colony,"Arera Colony, Bhopal","North Indian, Chinese",700,2,3.9,Good,expensive
Bake N Shake,Bhopal,"B-1, GM Tower,  Stop No. 10, Arera Colony, Bhopal",Arera Colony,"Arera Colony, Bhopal",Fast Food,500,2,4.2,Very Good,average
10 Downing Street,Bhopal,"Third Floor, DB City Mall, Maharana Pratap Nagar, Bhopal","DB City, Maharana Pratap Nagar","DB City, Maharana Pratap Nagar, Bhopal","North Indian, Chinese",1000,3,4,Very Good,expensive
Chi Kitchen,Bhopal,"12-13, Food Court, DB City Mall, Maharana Pratap Nagar, Bhopal","DB City, Maharana Pratap Nagar","DB City, Maharana Pratap Nagar, Bhopal",Chinese,1000,3,4,Very Good,expensive
Pizza Hut,Bhopal,"Third Floor, DB City Mall, Arera Hills, Maharana Pratap Nagar, Bhopal","DB City, Maharana Pratap Nagar","DB City, Maharana Pratap Nagar, Bhopal",Pizza,650,2,4.1,Very Good,average
Kafe Kulture,Bhopal,"A-66A, Jai Bhawani Housing Society, Bawadiyan Kalan, Gulmohar Colony, Bhopal",Gulmohar Colony,"Gulmohar Colony, Bhopal","Cafe, Fast Food",600,2,3.8,Good,average
Violet Hour,Bhopal,"Shop 3-4, Plot 5B, Sai Mehndi Appartment, B.D.A,  Kohefiza Main Road, Kohefiza, Bhopal",Kohefiza,"Kohefiza, Bhopal",Bakery,500,2,3.8,Good,average
